"species","Biomass.sim","Yield.sim","target","F","Biochange","Yieldchange","Functional.group"
"JFS",7862.7423922,492.405645704,"low",0.1,-0.0338939265721959,0.0304930171038179,"low trophic"
"JA",9882.0553134,863.15572806,"low",0.1,0.05555399950216,0.160358324672108,"low trophic"
"SP",43326.495,5285.807822,"low",0.1,-0.0614886883652101,0.046024146981097,"low trophic"
"PCM",3745.039356,555.79628524,"low",0.1,0.0649665648942798,0.184850380884042,"low trophic"
"BS",1347.4590816,192.80884158,"low",0.1,0.00497732075145612,-0.0248707187239785,"middle trophic"
"SYC",33801.76616,6922.438146,"low",0.1,-0.0455278805595473,-0.0526668363266457,"middle trophic"
"WC",6183.651794,591.1446057,"low",0.1,0.307177610664744,0.319099389753361,"middle trophic"
"SC",2887.143642,618.637609,"low",0.1,-0.0434909043166696,-0.0615041577164443,"high trophic"
"CM",3169.4563366,616.61780956,"low",0.1,0.0243397273835867,0.0433643082228165,"high trophic"
"LH",6993.413848,1237.3826698,"low",0.1,-0.178033061575935,-0.205527796941786,"high trophic"
"JSM",3522.361286,1336.7297952,"low",0.1,-0.246664747742311,-0.204427760870718,"high trophic"
"SAP",25400.48794,2254.6120884,"low",0.2,0.00735006869174557,0.183522962520372,"low trophic"
"JFS",9601.056104,675.1366492,"low",0.2,0.179695092465081,0.412907444626844,"low trophic"
"JA",11406.19684,1082.9298712,"low",0.2,0.218355525418375,0.455805308628694,"low trophic"
"SP",43039.9993,5525.7548188,"low",0.2,-0.0676945782066276,0.093507968016692,"low trophic"
"PCM",3227.0964604,513.8386466,"low",0.2,-0.0823194350391554,0.0954047954351719,"low trophic"
"BS",954.123526,144.6587217,"low",0.2,-0.288384695372844,-0.268389591651065,"middle trophic"
"SYC",33517.15416,6924.2715,"low",0.2,-0.0535645676833004,-0.0524159424929526,"middle trophic"
"WC",3952.4872936,378.33489174,"low",0.2,-0.16447383055366,-0.155771159874363,"middle trophic"
"SC",3365.6260254,780.4362986,"low",0.2,0.115030045312735,0.183950362454067,"high trophic"
"CM",2112.957963,402.87811602,"low",0.2,-0.317111026645592,-0.318299536110922,"high trophic"
"LH",5061.9888832,973.10430052,"low",0.2,-0.405042001646954,-0.375210000666565,"high trophic"
"JSM",5013.237596,1851.3687376,"low",0.2,0.0721922887413859,0.101866343755741,"high trophic"
"SAP",24742.27054,2338.4974362,"low",0.3,-0.0187539709105779,0.227557249327892,"low trophic"
"JFS",6916.6993672,505.01255765,"low",0.3,-0.150135546427782,0.0568764163213913,"low trophic"
"JA",12196.280894,1250.4565716,"low",0.3,0.302748534432574,0.681014960948208,"low trophic"
"SP",37097.76638,5165.597868,"low",0.3,-0.19641149407505,0.0222354435651053,"low trophic"
"PCM",3688.262818,598.14874234,"low",0.3,0.0488211765838535,0.275137643067957,"low trophic"
"BS",1264.1932906,192.08636366,"low",0.3,-0.0571249224202379,-0.0285246454272054,"middle trophic"
"SYC",38683.3058,8076.155972,"low",0.3,0.09231383647585,0.105219032068216,"middle trophic"
"WC",5213.97113,502.2708248,"low",0.3,0.10219439108805,0.120783530960329,"middle trophic"
"SC",3433.1511568,753.27910366,"low",0.3,0.137401084090207,0.142751906090458,"high trophic"
"CM",3973.520922,778.09178008,"low",0.3,0.284206155797924,0.316590567561338,"high trophic"
"LH",6897.5544848,1183.5036522,"low",0.3,-0.189299837574229,-0.240121284353569,"high trophic"
"JSM",3028.826067,1089.701662,"low",0.3,-0.352218224093862,-0.35144978863097,"high trophic"
"SAP",21575.24956,2208.4437432,"low",0.4,-0.144353873136362,0.159287619790287,"low trophic"
"JFS",8103.754848,646.71474628,"low",0.4,-0.00428039153496559,0.353426866474682,"low trophic"
"JA",10706.2259762262,1169.63210907468,"low",0.4,0.143587977437788,0.572360943046714,"low trophic"
"SP",43837.86294,6755.03136,"low",0.4,-0.0504117573534267,0.336773139342212,"low trophic"
"PCM",3948.832839,689.44145524,"low",0.4,0.122918758424807,0.469756082456759,"low trophic"
"BS",1425.0654204,214.92403726,"low",0.4,0.0628585666501767,0.0869767188312603,"middle trophic"
"SYC",33530.13938,6910.154372,"low",0.4,-0.0531978995513414,-0.0543478663683504,"middle trophic"
"WC",3744.476222,361.67796494,"low",0.4,-0.20844581096655,-0.192939970627577,"middle trophic"
"SC",2945.007594,663.87836661,"low",0.4,-0.0243206089440974,0.00712772353528734,"high trophic"
"CM",3027.4350192,586.5004464,"low",0.4,-0.0215602826175714,-0.00759656460917566,"high trophic"
"LH",7142.964156,1312.0412524,"low",0.4,-0.160455750769098,-0.157592610808128,"high trophic"
"JSM",4325.96019,1569.1146141,"low",0.4,-0.0747972605924301,-0.0661208933378787,"high trophic"
"SAP",23949.35712,2513.92143,"low",0.5,-0.050199878169933,0.31964330080767,"low trophic"
"JFS",7466.4515592,622.20186046,"low",0.5,-0.0825867313860567,0.30212697199346,"low trophic"
"JA",11542.674528,1387.1493906,"low",0.5,0.232933420890773,0.86477398066304,"low trophic"
"SP",37621.77538,6235.639374,"low",0.5,-0.185060740364222,0.233989122707476,"low trophic"
"PCM",3675.1531372,716.08291728,"low",0.5,0.0450932126290638,0.526550536258787,"low trophic"
"BS",911.44567222,126.525159442,"low",0.5,-0.320215179676915,-0.360099947808568,"middle trophic"
"SYC",34424.0461,7083.400416,"low",0.5,-0.0279563474507259,-0.0306392077288726,"middle trophic"
"WC",4574.367736,440.64946914,"low",0.5,-0.0330129692541391,-0.0167203756356351,"middle trophic"
"SC",3408.85578,773.2275556,"low",0.5,0.12935203916075,0.173014436097235,"high trophic"
"CM",2130.7621526,397.14170614,"low",0.5,-0.311356873003988,-0.328005978632262,"high trophic"
"LH",7310.930188,1364.1835866,"low",0.5,-0.140713958265032,-0.124114175934649,"high trophic"
"JSM",3964.392266,1492.2361006,"low",0.5,-0.15212659768157,-0.111876147201263,"high trophic"
"SAP",25474.46952,2913.148462,"low",0.6,0.0102840812142988,0.529211218083482,"low trophic"
"JFS",7704.9236134,701.31406656,"low",0.6,-0.0532853390202105,0.467690825017873,"low trophic"
"JA",11639.05587974,1389.686430734,"low",0.6,0.24322841703076,0.868184576855376,"low trophic"
"SP",42801.95912,7311.418798,"low",0.6,-0.0728508550195474,0.446878295417436,"low trophic"
"PCM",3449.68797,695.90481328,"low",0.6,-0.0190216982680965,0.483534714014502,"low trophic"
"BS",912.8853932,130.5035441,"low",0.6,-0.319141390533431,-0.339979297010584,"middle trophic"
"SYC",33115.75088,6850.720158,"low",0.6,-0.0648991304276972,-0.0624814171190484,"middle trophic"
"WC",5339.009466,502.10888614,"low",0.6,0.128626557506697,0.1204221757428,"middle trophic"
"SC",3459.698894,742.6648884,"low",0.6,0.146196334777499,0.126649753965057,"high trophic"
"CM",3545.808418,695.78376768,"low",0.6,0.14597332870812,0.177319140289069,"high trophic"
"LH",7981.741934,1439.6689846,"low",0.6,-0.0618704793714998,-0.0756481258504988,"high trophic"
"JSM",4133.6886534,1563.3276172,"low",0.6,-0.115918802298625,-0.0695651003108207,"high trophic"
"SAP",25124.82244,3012.285566,"low",0.7,-0.0035824638256177,0.581251673124701,"low trophic"
"JFS",8137.920952,786.44021208,"low",0.7,-0.0000823549043224986,0.645840485357177,"low trophic"
"JA",9675.875142,1263.0223696,"low",0.7,0.0335308173161425,0.697907426399628,"low trophic"
"SP",43633.68148,7913.424618,"low",0.7,-0.054834607847936,0.566011008060191,"low trophic"
"PCM",3785.59667,812.7372544,"low",0.7,0.0764997369830377,0.732598923396306,"low trophic"
"BS",1376.9227504,194.29811176,"low",0.7,0.0269522507025552,-0.0173387458727923,"middle trophic"
"SYC",37163.77306,7768.406644,"low",0.7,0.049406266852365,0.0631036475225191,"middle trophic"
"WC",4916.221372,459.60757162,"low",0.7,0.0392523254277391,0.0255833537245221,"middle trophic"
"SC",3807.947638,882.5346222,"low",0.7,0.261570951526926,0.338837247455462,"high trophic"
"CM",2768.6415566,566.76258502,"low",0.7,-0.105199997690193,-0.0409945297105027,"high trophic"
"LH",6937.200022,1292.3754706,"low",0.7,-0.184640121798395,-0.170219195431326,"high trophic"
"JSM",4168.106222,1555.4971816,"low",0.7,-0.108557840256931,-0.0742254865803716,"high trophic"
"SAP",23545.96536,2896.652764,"low",0.8,-0.06619786679541,0.520552062272933,"low trophic"
"JFS",7546.31437458,798.23510165,"low",0.8,-0.0727738763882634,0.67052450643906,"low trophic"
"JA",9333.5112858,1243.54531912,"low",0.8,-0.00303885632319245,0.671724019478002,"low trophic"
"SP",38438.7647,7293.047758,"low",0.8,-0.167363631047975,0.443242795964509,"low trophic"
"PCM",3722.814886,827.340147,"low",0.8,0.0586466533466011,0.763729471258186,"low trophic"
"BS",1010.65821434,149.65137274,"low",0.8,-0.246219348466734,-0.243139296174977,"middle trophic"
"SYC",34418.3812,7144.259198,"low",0.8,-0.0281163091841992,-0.0223107053611511,"middle trophic"
"WC",5441.05058,511.6910311,"low",0.8,0.150197283678166,0.141804087118439,"middle trophic"
"SC",3687.832516,806.141534,"low",0.8,0.221776877878922,0.22294614317748,"high trophic"
"CM",3802.3656948,760.9338912,"low",0.8,0.2288903286809,0.287558112474418,"high trophic"
"LH",8909.499362,1660.7995098,"low",0.8,0.0471729648272777,0.0663306328688711,"high trophic"
"JSM",4267.2065188,1494.4718002,"low",0.8,-0.0873630390917675,-0.110545541312789,"high trophic"
"SAP",22791.45481,2984.9284326,"low",0.9,-0.0961207665509785,0.566890978558121,"low trophic"
"JFS",7791.1426426,844.066415414,"low",0.9,-0.042691487206141,0.766439021657447,"low trophic"
"JA",9799.972926,1415.4517482,"low",0.9,0.0467863505100248,0.902821432798728,"low trophic"
"SP",35389.84312,7336.604866,"low",0.9,-0.233407454604841,0.451862440922283,"low trophic"
"PCM",3537.313744,854.4683962,"low",0.9,0.00589620263018786,0.821561661308642,"low trophic"
"BS",922.2976536,133.29604922,"low",0.9,-0.312121430990189,-0.32585622314991,"middle trophic"
"SYC",35513.00504,7403.022356,"low",0.9,0.00279296140270907,0.013100939487116,"middle trophic"
"WC",6124.35832,590.3128098,"low",0.9,0.294643414973691,0.317243293201841,"middle trophic"
"SC",3554.0374816,812.01586718,"low",0.9,0.177450656800358,0.23185772111166,"high trophic"
"CM",2932.3231922,592.88342948,"low",0.9,-0.0522995680322582,0.00320392902303777,"high trophic"
"LH",5401.155786,1021.63793448,"low",0.9,-0.365178211691349,-0.344048562870725,"high trophic"
"JSM",4269.648942,1600.8816488,"low",0.9,-0.0868406726028996,-0.0472143267172137,"high trophic"
"SAP",27658.3555,220.91656694,"all",-0.9,0.0968941375708754,-0.88403334164672,"low trophic"
"JFS",9129.578581,52.159130078,"all",-0.9,0.121763994670645,-0.890842804519956,"low trophic"
"JA",8405.932358,66.39709968,"all",-0.9,-0.102118411743769,-0.910740988163359,"low trophic"
"SP",51261.16012,591.8247476,"all",-0.9,0.110387041927628,-0.882882049893302,"low trophic"
"PCM",4696.569836,63.54667417,"all",-0.9,0.335550676394817,-0.864530758672261,"low trophic"
"BS",1456.7834546,24.99132693,"all",-0.9,0.086514873149643,-0.873606550054015,"middle trophic"
"SYC",47996.92928,995.7884112,"all",-0.9,0.355305832235694,-0.863726715062604,"middle trophic"
"WC",5381.936378,50.935235266,"all",-0.9,0.137700984743338,-0.886341451637263,"middle trophic"
"SC",4749.3168978,121.9892205,"all",-0.9,0.573446067921077,-0.814937898089119,"high trophic"
"CM",4351.48598,102.669772392,"all",-0.9,0.406361056624723,-0.826274923645796,"high trophic"
"LH",9914.56975,200.19842708,"all",-0.9,0.165303344021311,-0.871460875206257,"high trophic"
"JSM",5191.704374,194.02691918,"all",-0.9,0.11036137598369,-0.884522338697258,"high trophic"
"SAP",27997.02062,447.4010292,"all",-0.8,0.110325152467178,-0.765143904693061,"low trophic"
"JFS",8185.1550968,92.91225235,"all",-0.8,0.00572137004153318,-0.805555789042236,"low trophic"
"JA",11809.703182,191.617754112,"all",-0.8,0.261456147668995,-0.742404239570341,"low trophic"
"SP",48359.51692,1097.6683684,"all",-0.8,0.047533470099855,-0.782779159328327,"low trophic"
"PCM",4880.023138,140.130721,"all",-0.8,0.387718788469913,-0.701268355763282,"low trophic"
"BS",1249.8033334,41.43785265,"all",-0.8,-0.0678574046381114,-0.790428368631371,"middle trophic"
"SYC",48385.997,1999.6982492,"all",-0.8,0.366292071521431,-0.726342015796655,"middle trophic"
"WC",4919.1700336,96.969221428,"all",-0.8,0.0398756503744458,-0.783619710681336,"middle trophic"
"SC",3860.0865908,195.267290204,"all",-0.8,0.278844557823167,-0.703772390613855,"high trophic"
"CM",3991.9357234,188.94320258,"all",-0.8,0.290157653670942,-0.680293707387472,"high trophic"
"LH",7926.570708,318.83221344,"all",-0.8,-0.0683549981930609,-0.795291030657036,"high trophic"
"JSM",4831.7915534,364.61166814,"all",-0.8,0.0333860195444929,-0.782996591924248,"high trophic"
"SAP",27287.94658,635.564598,"all",-0.7,0.0822042051614102,-0.666370414774172,"low trophic"
"JFS",8664.484746,145.65986476,"all",-0.7,0.0646172694831233,-0.695167033893643,"low trophic"
"JA",11171.871782,273.8230285,"all",-0.7,0.193326040730095,-0.631893967359716,"low trophic"
"SP",50074.94836,1729.9572184,"all",-0.7,0.0846920681072395,-0.657653648292125,"low trophic"
"PCM",5404.799028,224.94396236,"all",-0.7,0.53694786827044,-0.52046289880343,"low trophic"
"BS",992.4957432,51.741285782,"all",-0.7,-0.259765490114931,-0.738318832251454,"middle trophic"
"SYC",42737.55388,2629.608407,"all",-0.7,0.206795036639711,-0.640139037881501,"middle trophic"
"WC",5287.164028,162.87229772,"all",-0.7,0.11766682076433,-0.636561432755065,"middle trophic"
"SC",3634.793006,265.52809428,"all",-0.7,0.204204917479182,-0.597184185271129,"high trophic"
"CM",4400.502734,299.91837912,"all",-0.7,0.42220282981774,-0.492515254502395,"high trophic"
"LH",10115.889012,602.8586333,"all",-0.7,0.188965289535841,-0.612929420930124,"high trophic"
"JSM",3838.866555,409.93214148,"all",-0.7,-0.178973061029001,-0.756023518844727,"high trophic"
"SAP",28018.11234,885.829333,"all",-0.6,0.111161622445275,-0.53499789969475,"low trophic"
"JFS",8442.193794,189.7084844,"all",-0.6,0.0373040716085127,-0.602983291996888,"low trophic"
"JA",11834.399738,377.9988027,"all",-0.6,0.264094115949174,-0.4918482920633,"low trophic"
"SP",48655.5404,2221.9352738,"all",-0.6,0.0539457447251043,-0.560294655482869,"low trophic"
"PCM",4475.197006,252.82136806,"all",-0.6,0.272599492197429,-0.461033651723376,"low trophic"
"BS",1478.115783,98.94522036,"all",-0.6,0.102425193940509,-0.499585284447077,"middle trophic"
"SYC",42170.02094,3502.3429016,"all",-0.6,0.190769413436179,-0.520705637050896,"middle trophic"
"WC",4197.191306,163.15172,"all",-0.6,-0.112745237659817,-0.635937920748904,"middle trophic"
"SC",3693.270751,365.48502754,"all",-0.6,0.223578562134008,-0.44554586760796,"high trophic"
"CM",3613.3122592,323.05299214,"all",-0.6,0.167789961893334,-0.45336972685888,"high trophic"
"LH",8721.93578,651.5762482,"all",-0.6,0.0251277853759741,-0.581649856586783,"high trophic"
"JSM",4225.446078,634.84926442,"all",-0.6,-0.0962944375628726,-0.62216114833542,"high trophic"
"SAP",24908.55454,977.8379152,"all",-0.5,-0.0121593653574085,-0.486699449445634,"low trophic"
"JFS",8028.6984046,239.78070402,"all",-0.5,-0.0135026809349801,-0.49819352543049,"low trophic"
"JA",12550.389508,502.71543756,"all",-0.5,0.340572727063739,-0.324189107537987,"low trophic"
"SP",50514.83456,2854.1018666,"all",-0.5,0.0942206065808004,-0.435193338285649,"low trophic"
"PCM",3797.28388,261.7259004,"all",-0.5,0.0798231968198368,-0.44205090783892,"low trophic"
"BS",1038.7081602,80.00967758,"all",-0.5,-0.225298817504018,-0.59535165112571,"middle trophic"
"SYC",45479.37932,4704.503458,"all",-0.5,0.284216906445716,-0.356190398471872,"middle trophic"
"WC",4781.380756,225.97097996,"all",-0.5,0.0107480305360914,-0.495760971354483,"middle trophic"
"SC",3697.42734,450.43810214,"all",-0.5,0.224955637776412,-0.316668951394959,"high trophic"
"CM",3513.533776,388.11524228,"all",-0.5,0.13554245524698,-0.343279443126756,"high trophic"
"LH",6705.761554,667.6291282,"all",-0.5,-0.211842111142973,-0.57134296668902,"high trophic"
"JSM",5183.821858,1005.237666,"all",-0.5,0.108675524733028,-0.401719641719322,"high trophic"
"SAP",25741.80982,1169.486946,"all",-0.4,0.0208864472084173,-0.386096321367163,"low trophic"
"JFS",8955.5114723,315.15589624,"all",-0.4,0.100376127370565,-0.34045039246028,"low trophic"
"JA",11968.874406,588.10178616,"all",-0.4,0.278458058381944,-0.209402450634197,"low trophic"
"SP",45632.15416,3100.317679,"all",-0.4,-0.0115449483411356,-0.386468962785838,"low trophic"
"PCM",4073.108474,344.09104186,"all",-0.4,0.15825867972469,-0.266464327247961,"low trophic"
"BS",1390.7910862,126.88715312,"all",-0.4,0.0372956912907592,-0.358269167476287,"middle trophic"
"SYC",39992.80146,4911.762044,"all",-0.4,0.129290516690783,-0.327827135726462,"middle trophic"
"WC",4922.988376,292.45754772,"all",-0.4,0.0406828193194977,-0.347400671500001,"middle trophic"
"SC",3178.09857,470.19033086,"all",-0.4,0.0529023028024269,-0.286704099177974,"high trophic"
"CM",3859.75938,472.54865662,"all",-0.4,0.247439450551553,-0.200411673857156,"high trophic"
"LH",8868.189884,996.1294788,"all",-0.4,0.042317678711289,-0.360426486592558,"high trophic"
"JSM",4305.5583388,973.7809574,"all",-0.4,-0.0791606499418882,-0.420441513698539,"high trophic"
"SAP",24234.00026,1284.1818092,"all",-0.3,-0.0389113042138362,-0.32588906665637,"low trophic"
"JFS",8431.53534348,336.422658853,"all",-0.3,0.0359944529961927,-0.295943895509441,"low trophic"
"JA",9784.8922024,547.94985874,"all",-0.3,0.0451754995679357,-0.263379527676995,"low trophic"
"SP",47359.4097,3712.534288,"all",-0.3,0.025869775891089,-0.265315606901141,"low trophic"
"PCM",4321.138408,411.37199316,"all",-0.3,0.228790271436735,-0.123034327999904,"low trophic"
"BS",894.3040384,97.0241738,"all",-0.3,-0.332999948776746,-0.509300963126539,"middle trophic"
"SYC",38429.42682,5610.0844154,"all",-0.3,0.085144968228701,-0.232261971053304,"middle trophic"
"WC",5599.61099,365.58572596,"all",-0.3,0.183715765118362,-0.184220064995215,"middle trophic"
"SC",3787.23833,615.64758836,"all",-0.3,0.254709969212383,-0.0660401282073396,"high trophic"
"CM",2900.9318422,426.67684432,"all",-0.3,-0.0624449694785192,-0.278030274820804,"high trophic"
"LH",8497.94385,1123.43001934,"all",-0.3,-0.00119897933943759,-0.278692077858951,"high trophic"
"JSM",5093.617218,1314.8844992,"all",-0.3,0.0893832574976067,-0.217429274800885,"high trophic"
"SAP",27000.39478,1656.451616,"all",-0.2,0.0708002775610163,-0.130471918461493,"low trophic"
"JFS",6581.995606,293.56625136,"all",-0.2,-0.191261062229397,-0.38563260855527,"low trophic"
"JA",7724.89047074,480.329327938,"all",-0.2,-0.174864056766723,-0.354283223596618,"low trophic"
"SP",47633.39742,4341.362244,"all",-0.2,0.0318047257288045,-0.140874982417013,"low trophic"
"PCM",3419.364646,382.48902018,"all",-0.2,-0.0276446587036707,-0.184607250391134,"low trophic"
"BS",1320.8252046,169.87341416,"all",-0.2,-0.0148870615620319,-0.140866472199544,"middle trophic"
"SYC",41641.48808,6905.162442,"all",-0.2,0.175845048931371,-0.0550310101884896,"middle trophic"
"WC",4876.842376,381.04471856,"all",-0.2,0.0309279010234408,-0.149724363760295,"middle trophic"
"SC",3996.930072,715.69568628,"all",-0.2,0.324180727644665,0.0857364895739083,"high trophic"
"CM",3193.630883,522.4883655,"all",-0.2,0.0321527229383895,-0.115909881984471,"high trophic"
"LH",8334.501644,1179.5574846,"all",-0.2,-0.0204090665150328,-0.242654955256941,"high trophic"
"JSM",4846.475444,1433.4288318,"all",-0.2,0.0365264959269814,-0.146876063178518,"high trophic"
"SAP",23677.36012,1630.0203012,"all",-0.1,-0.0609869227842401,-0.144346619194427,"low trophic"
"JFS",8024.90559,409.3741486,"all",-0.1,-0.0139687093303756,-0.143273020535772,"low trophic"
"JA",11949.80965106,837.959632463,"all",-0.1,0.276421652220651,0.12648668561003,"low trophic"
"SP",42690.24964,4147.566742,"all",-0.1,-0.0752706355856153,-0.179225747615968,"low trophic"
"PCM",4629.471862,564.9388864,"all",-0.1,0.316470209652148,0.204340641532364,"low trophic"
"BS",1282.24764,175.75200226,"all",-0.1,-0.0436594213629606,-0.111135556636253,"middle trophic"
"SYC",35320.63346,6553.766676,"all",-0.1,-0.0026391011946587,-0.103119394033213,"middle trophic"
"WC",4482.29568,393.3060298,"all",-0.1,-0.0524763113342754,-0.122364073201426,"middle trophic"
"SC",3470.7435502,730.8866884,"all",-0.1,0.149855423282938,0.108781794486401,"high trophic"
"CM",4388.3353446,786.45769598,"all",-0.1,0.418270439206442,0.330746334586429,"high trophic"
"LH",6790.85444,1191.3869214,"all",-0.1,-0.201840766948665,-0.235059763450228,"high trophic"
"JSM",3692.686639,1313.4708606,"all",-0.1,-0.210236885195069,-0.218270620322141,"high trophic"
"SAP",27293.94974,2035.1488422,"all",0,0.0824422826208925,0.0683192019074822,"low trophic"
"JFS",9212.2246866,525.73994792,"all",0,0.131918836401759,0.100254129640423,"low trophic"
"JA",11254.799072,885.5261625,"all",0,0.202183938186779,0.190431368255248,"low trophic"
"SP",44996.4531,4881.1105274,"all",0,-0.0253151052769372,-0.0340625978694468,"low trophic"
"PCM",3266.997368,434.53789822,"all",0,-0.0709729234371193,-0.0736490907056103,"low trophic"
"BS",1116.9049254,166.1042621,"all",0,-0.166977213044748,-0.159928930690395,"middle trophic"
"SYC",35346.56164,7312.335612,"all",0,-0.00190695824092389,0.00069049127727568,"middle trophic"
"WC",5045.854446,482.06438354,"all",0,0.0666557849981611,0.0756942176550157,"middle trophic"
"SC",3662.1705046,805.16294338,"all",0,0.213275067660493,0.221461585473896,"high trophic"
"CM",2621.753156,517.6461984,"all",0,-0.15267300512333,-0.124103197597907,"high trophic"
"LH",7054.254506,1352.26895948,"all",0,-0.170882189273094,-0.131764064920223,"high trophic"
"JSM",4696.663596,1750.7975962,"all",0,0.00448590237604771,0.042010112195185,"high trophic"
"SAP",24503.48268,1986.5215472,"all",0.1,-0.0282239845474008,0.0427930723644645,"low trophic"
"JFS",7840.8645002,484.959664514,"all",0.1,-0.0365820935349041,0.0149102720871332,"low trophic"
"JA",9761.2644024,839.15300792,"all",0.1,0.0426516907044478,0.128090965233015,"low trophic"
"SP",45907.4769,5509.301066,"all",0.1,-0.00558108013900457,0.0902518861997133,"low trophic"
"PCM",3096.5958878,456.64950194,"all",0.1,-0.119429524762484,-0.026511420330059,"low trophic"
"BS",1292.0180664,204.39135764,"all",0.1,-0.0363723303632014,0.0337077700444916,"middle trophic"
"SYC",39631.47866,9134.509894,"all",0.1,0.119087720272226,0.250054384594075,"middle trophic"
"WC",4165.568272,427.83203614,"all",0.1,-0.119430109868533,-0.045321614461935,"middle trophic"
"SC",3824.037382,914.1035716,"all",0.1,0.266901474837001,0.386728496429238,"high trophic"
"CM",3051.1473632,651.29599056,"all",0.1,-0.0138966667134501,0.102042432286909,"high trophic"
"LH",7717.952394,1523.2032482,"all",0.1,-0.0928748336532217,-0.022014232267793,"high trophic"
"JSM",4301.824672,1765.3899254,"all",0.1,-0.0799591775749857,0.050694927972796,"high trophic"
"SAP",25093.57784,2210.376421,"all",0.2,-0.00482158372089654,0.160302148439016,"low trophic"
"JFS",8530.791588,596.70307182,"all",0.2,0.0481902055559528,0.248763807156959,"low trophic"
"JA",10249.2842308,966.92730948,"all",0.2,0.0947796403431695,0.299860635148249,"low trophic"
"SP",10416.337836,1321.0195818,"all",0.2,-0.774367834626469,-0.738579526965316,"low trophic"
"PCM",3644.977632,565.19139656,"all",0.2,0.0365122870200157,0.204878944445137,"low trophic"
"BS",1333.0586258,237.602077426,"all",0.2,-0.00576299165216743,0.201670738185372,"middle trophic"
"SYC",36717.12786,9070.337798,"all",0.2,0.0367941924221718,0.241272456400414,"middle trophic"
"WC",4914.933088,561.9773396,"all",0.2,0.0389799918525188,0.254014599090805,"middle trophic"
"SC",3658.452294,978.53587692,"all",0.2,0.212043226540145,0.484474656332627,"high trophic"
"CM",3476.787506,785.14678302,"all",0.2,0.123666391910975,0.328528169991692,"high trophic"
"LH",6298.058258,1385.5718236,"all",0.2,-0.259761287282443,-0.110381674111532,"high trophic"
"JSM",4212.99667,1936.5675404,"all",0.2,-0.0989570201756826,0.15257352673178,"high trophic"
"SAP",23880.68884,2262.5835792,"all",0.3,-0.0529231721766601,0.187707470558744,"low trophic"
"JFS",7494.753712,560.48333596,"all",0.3,-0.0791092065801714,0.172964138305251,"low trophic"
"JA",8280.6896046,822.448783126,"all",0.3,-0.115496245106103,0.105635125959983,"low trophic"
"SP",47089.59354,6622.203518,"all",0.3,0.0200251877650045,0.310487444742211,"low trophic"
"PCM",3429.196228,561.2187805,"all",0.3,-0.0248488787091984,0.19641009393858,"low trophic"
"BS",1142.0952366,215.02450982,"all",0.3,-0.148189487462305,0.0874848580556749,"middle trophic"
"SYC",32161.14934,8747.181806,"all",0.3,-0.0918545430766119,0.197048675442796,"middle trophic"
"WC",5304.09823,615.969711,"all",0.3,0.121246584057333,0.374494940919756,"middle trophic"
"SC",3716.727044,1006.0964787,"all",0.3,0.231349619063469,0.526285095602838,"high trophic"
"CM",2842.2843184,678.24046722,"all",0.3,-0.0813993206861018,0.147634539447822,"high trophic"
"LH",5404.6805812,1286.2159826,"all",0.3,-0.364763926882515,-0.174173947765026,"high trophic"
"JSM",5296.9413312,2571.6623662,"all",0.3,0.13286863837446,0.53055852746675,"high trophic"
"SAP",22947.66372,2293.4933538,"all",0.4,-0.0899257258655213,0.203933067943609,"low trophic"
"JFS",9906.0718026,799.03234974,"all",0.4,0.217172794799652,0.672192965354615,"low trophic"
"JA",9754.7153822,1049.04480792,"all",0.4,0.041952155613245,0.410252908313445,"low trophic"
"SP",42290.26166,6508.88272,"all",0.4,-0.0839349238865257,0.288062056787354,"low trophic"
"PCM",3731.5452778,659.52458288,"all",0.4,0.0611292909056781,0.405979086186807,"low trophic"
"BS",852.5304868,153.91994804,"all",0.4,-0.364155976101443,-0.221551008364874,"middle trophic"
"SYC",31302.33326,9077.516158,"all",0.4,-0.11610522868301,0.242254812377508,"middle trophic"
"WC",4456.0689752,569.13068828,"all",0.4,-0.0580204400236267,0.269976815082453,"middle trophic"
"SC",3668.500708,1075.1426926,"all",0.4,0.215372260554377,0.631030723298051,"high trophic"
"CM",2740.0352534,663.563148,"all",0.4,-0.114445297107308,0.122799397197441,"high trophic"
"LH",7432.042324,1852.61666472,"all",0.4,-0.1264791119085,0.189488489668565,"high trophic"
"JSM",4721.454724,2562.2825436,"all",0.4,0.00978803612929511,0.524976003238358,"high trophic"
"SAP",24125.64564,2579.7276944,"all",0.5,-0.0432085064627813,0.354187258677761,"low trophic"
"JFS",7401.9136506,625.78454928,"all",0.5,-0.0905165938125101,0.309624724798848,"low trophic"
"JA",10723.553,1248.2300492,"all",0.5,0.145438767446941,0.678021800249715,"low trophic"
"SP",46464.76084,7439.377624,"all",0.5,0.00649045441467684,0.472200446037113,"low trophic"
"PCM",3470.27347,658.2217641,"all",0.5,-0.0131678561218162,0.403201728063516,"low trophic"
"BS",817.40714536,164.698938782,"all",0.5,-0.390352067736593,-0.167036342911806,"middle trophic"
"SYC",32329.18646,10022.000798,"all",0.5,-0.0871096210121291,0.371507194729107,"middle trophic"
"WC",3380.0018436,475.0756466,"all",0.5,-0.285492960931836,0.0600993216789554,"middle trophic"
"SC",3343.8028612,1013.186624,"all",0.5,0.107800043053675,0.537041104918198,"high trophic"
